club_id,club_name,clubelo_club,clubelo_country
3,1.FC Köln,Koeln,GER
4,1.FC Nuremberg,Nuernberg,GER
5,AC Milan,Milan,ITA
6,Adanaspor,Adanaspor,TUR
10,Arminia Bielefeld,Bielefeld,GER
11,Arsenal FC,Arsenal,ENG
12,Associazione Sportiva Roma,Roma,ITA
13,Atlético de Madrid,Atletico,ESP
14,Austria Vienna,Austria Wien,AUT
15,Bayer 04 Leverkusen,Leverkusen,GER
16,Borussia Dortmund,Dortmund,GER
18,Borussia Mönchengladbach,Gladbach,GER
19,Brescia Calcio,Brescia,ITA
20,Bursaspor,Bursaspor,TUR
23,Eintracht Braunschweig,Braunschweig,GER
24,Eintracht Frankfurt,Frankfurt,GER
26,FC Basel 1893,Basel,SUI
27,Bayern Munich,Bayern,GER
29,Everton FC,Everton,ENG
31,Liverpool FC,Liverpool,ENG
33,FC Schalke 04,Schalke,GER
35,FC St. Pauli,St Pauli,GER
36,Fenerbahce,Fenerbahce,TUR
39,1.FSV Mainz 05,Mainz,GER
40,FC Girondins Bordeaux,Bordeaux,FRA
41,Hamburger SV,Hamburg,GER
42,Hannover 96,Hannover,GER
43,Heart of Midlothian FC,Hearts,SCO
44,Hertha BSC,Hertha,GER
46,Inter Milan,Inter,ITA
47,Iraklis Thessaloniki,Iraklis,GRE
53,OFK Beograd,OFK,SRB
58,RSC Anderlecht,Anderlecht,BEL
60,SC Freiburg,Freiburg,GER
61,Servette FC,Servette,SUI
62,SK Slavia Prague,Slavia Praha,CZE
65,SpVgg Greuther Fürth,Fuerth,GER
76,Vålerengens Idrettsforening,Valerenga,NOR
79,VfB Stuttgart,Stuttgart,GER
80,VfL Bochum,Bochum,GER
82,VfL Wolfsburg,Wolfsburg,GER
86,SV Werder Bremen,Werder,GER
88,Widzew Lodz,Widzew,POL
89,1.FC Union Berlin,Union Berlin,GER
105,SV Darmstadt 98,Darmstadt,GER
114,Beşiktaş Jimnastik Kulübü,Besiktas,TUR
120,Kocaelispor,Kocaelispor,TUR
121,FK Dinamo Moskva,FC Moskva,RUS
122,Sportklub Puntigamer Sturm Graz,Sturm Graz,AUT
124,Rangers FC,Rangers,SCO
126,Caykur Rizespor,Rizespor,TUR
